Source-IP,Source-Mask,Destination-IP,Destination-Mask,Protocol,Source-Port,Destination-Port
Single_IP_Address,32_Bits,Single_IP_Address,32_Bits,Specific_Protocol,Specific_Port,Specific_Port
Single_IP_Address,32_Bits,Single_IP_Address,32_Bits,Specific_Protocol,Any,Specific_Port
Single_IP_Address,32_Bits,Single_IP_Address,32_Bits,Specific_Protocol,Specific_Port,Any
Single_IP_Address,32_Bits,Single_IP_Address,32_Bits,Specific_Protocol,Any,Any
Single_IP_Address,32_Bits,Single_IP_Address,32_Bits,Any,Any,Any
Address_Range,31_Or_Fewer_Bits,Single_IP_Address,32_Bits,Specific_Protocol,Specific_Port,Specific_Port
Address_Range,31_Or_Fewer_Bits,Single_IP_Address,32_Bits,Specific_Protocol,Any,Specific_Port
Address_Range,31_Or_Fewer_Bits,Single_IP_Address,32_Bits,Specific_Protocol,Specific_Port,Any
Address_Range,31_Or_Fewer_Bits,Single_IP_Address,32_Bits,Specific_Protocol,Any,Any
Address_Range,31_Or_Fewer_Bits,Single_IP_Address,32_Bits,Any,Any,Any
Single_IP_Address,32_Bits,Address_Range,31_Or_Fewer_Bits,Specific_Protocol,Specific_Port,Specific_Port
Single_IP_Address,32_Bits,Address_Range,31_Or_Fewer_Bits,Specific_Protocol,Any,Specific_Port
Single_IP_Address,32_Bits,Address_Range,31_Or_Fewer_Bits,Specific_Protocol,Specific_Port,Any
Single_IP_Address,32_Bits,Address_Range,31_Or_Fewer_Bits,Specific_Protocol,Any,Any
Single_IP_Address,32_Bits,Address_Range,31_Or_Fewer_Bits,Any,Any,Any
Address_Range,31_Or_Fewer_Bits,Address_Range,31_Or_Fewer_Bits,Specific_Protocol,Specific_Port,Specific_Port
Address_Range,31_Or_Fewer_Bits,Address_Range,31_Or_Fewer_Bits,Specific_Protocol,Any,Specific_Port
Address_Range,31_Or_Fewer_Bits,Address_Range,31_Or_Fewer_Bits,Specific_Protocol,Specific_Port,Any
Address_Range,31_Or_Fewer_Bits,Address_Range,31_Or_Fewer_Bits,Specific_Protocol,Any,Any
Address_Range,31_Or_Fewer_Bits,Address_Range,31_Or_Fewer_Bits,Any,Any,Any
Any,0_Bits,Single_IP_Address,32_Bits,Specific_Protocol,Specific_Port,Specific_Port
Any,0_Bits,Single_IP_Address,32_Bits,Specific_Protocol,Any,Specific_Port
Any,0_Bits,Single_IP_Address,32_Bits,Specific_Protocol,Specific_Port,Any
Any,0_Bits,Single_IP_Address,32_Bits,Specific_Protocol,Any,Any
Any,0_Bits,Single_IP_Address,32_Bits,Any,Any,Any
Single_IP_Address,32_Bits,Any,0_Bits,Specific_Protocol,Specific_Port,Specific_Port
Single_IP_Address,32_Bits,Any,0_Bits,Specific_Protocol,Any,Specific_Port
Single_IP_Address,32_Bits,Any,0_Bits,Specific_Protocol,Specific_Port,Any
Single_IP_Address,32_Bits,Any,0_Bits,Specific_Protocol,Any,Any
Single_IP_Address,32_Bits,Any,0_Bits,Any,Any,Any
Any,0_Bits,Address_Range,31_Or_Fewer_Bits,Specific_Protocol,Specific_Port,Specific_Port
Any,0_Bits,Address_Range,31_Or_Fewer_Bits,Specific_Protocol,Any,Specific_Port
Any,0_Bits,Address_Range,31_Or_Fewer_Bits,Specific_Protocol,Specific_Port,Any
Any,0_Bits,Address_Range,31_Or_Fewer_Bits,Specific_Protocol,Any,Any
Any,0_Bits,Address_Range,31_Or_Fewer_Bits,Any,Any,Any
Address_Range,31_Or_Fewer_Bits,Any,0_Bits,Specific_Protocol,Specific_Port,Specific_Port
Address_Range,31_Or_Fewer_Bits,Any,0_Bits,Specific_Protocol,Any,Specific_Port
Address_Range,31_Or_Fewer_Bits,Any,0_Bits,Specific_Protocol,Specific_Port,Any
Address_Range,31_Or_Fewer_Bits,Any,0_Bits,Specific_Protocol,Any,Any
Address_Range,31_Or_Fewer_Bits,Any,0_Bits,Any,Any,Any
Any,0_Bits,Any,0_Bits,Specific_Protocol,Specific_Port,Specific_Port
Any,0_Bits,Any,0_Bits,Specific_Protocol,Any,Specific_Port
Any,0_Bits,Any,0_Bits,Specific_Protocol,Specific_Port,Any
Any,0_Bits,Any,0_Bits,Specific_Protocol,Any,Any
Any,0_Bits,Any,0_Bits,Any,Any,Any
Note:An address range with more subnet mask bits is more specific than another with fewer bits.
Note:Tunnel mode rules have a higher specificity than transport mode rules.
Note:If two filters have the same specificity the one with the more restrictive associated action will take precedence.
