[Thu, Sep 27 2001 - 16:00:18] ---------- UrlScan.dll Initializing ----------
[Thu, Sep 27 2001 - 16:00:18] URLs will be normalized before analysis.
[Thu, Sep 27 2001 - 16:00:18] URL normalization will be verified.
[Thu, Sep 27 2001 - 16:00:18] URLs may contain OEM, international and UTF-8 characters.
[Thu, Sep 27 2001 - 16:00:18] URLs must not contain any dot except for the file extension.
[Thu, Sep 27 2001 - 16:00:18] Only the following verbs will be allowed (case sensitive):
[Thu, Sep 27 2001 - 16:00:18] 	'GET'
[Thu, Sep 27 2001 - 16:00:18] 	'HEAD'
[Thu, Sep 27 2001 - 16:00:18] 	'POST'
[Thu, Sep 27 2001 - 16:00:18] Requests for following extensions will be rejected:
[Thu, Sep 27 2001 - 16:00:18] 	'.exe'
[Thu, Sep 27 2001 - 16:00:18] 	'.bat'
[Thu, Sep 27 2001 - 16:00:18] 	'.cmd'
[Thu, Sep 27 2001 - 16:00:18] 	'.com'
[Thu, Sep 27 2001 - 16:00:18] 	'.htw'
[Thu, Sep 27 2001 - 16:00:18] 	'.ida'
[Thu, Sep 27 2001 - 16:00:18] 	'.idq'
[Thu, Sep 27 2001 - 16:00:18] 	'.htr'
[Thu, Sep 27 2001 - 16:00:18] 	'.idc'
[Thu, Sep 27 2001 - 16:00:18] 	'.shtm'
[Thu, Sep 27 2001 - 16:00:18] 	'.shtml'
[Thu, Sep 27 2001 - 16:00:18] 	'.stm'
[Thu, Sep 27 2001 - 16:00:18] 	'.printer'
[Thu, Sep 27 2001 - 16:00:18] 	'.ini'
[Thu, Sep 27 2001 - 16:00:18] 	'.log'
[Thu, Sep 27 2001 - 16:00:18] 	'.pol'
[Thu, Sep 27 2001 - 16:00:18] 	'.dat'
[Thu, Sep 27 2001 - 16:00:18] Requests containing the following headers will be rejected:
[Thu, Sep 27 2001 - 16:00:18] 	'translate:'
[Thu, Sep 27 2001 - 16:00:18] 	'if:'
[Thu, Sep 27 2001 - 16:00:18] 	'lock-token:'
[Thu, Sep 27 2001 - 16:00:18] Requests containing the following character sequences will be rejected:
[Thu, Sep 27 2001 - 16:00:18] 	'..'
[Thu, Sep 27 2001 - 16:00:18] 	'./'
[Thu, Sep 27 2001 - 16:00:18] 	'\'
[Thu, Sep 27 2001 - 16:00:18] 	':'
[Thu, Sep 27 2001 - 16:00:18] 	'%'
[Thu, Sep 27 2001 - 16:00:18] 	'&'
[Thu, Sep 27 2001 - 16:19:44] Client at 127.0.0.1: URL contains extension '.ida', which is disallowed. Request will be rejected.  Raw URL='/default.ida'
[Thu, Sep 27 2001 - 16:19:52] Client at 127.0.0.1: URL contains extension '.htr', which is disallowed. Request will be rejected.  Raw URL='/default.htr'
[Thu, Sep 27 2001 - 23:19:36] Client at 65.65.249.122: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/scripts/root.exe'
[Thu, Sep 27 2001 - 23:19:36] Client at 65.65.249.122: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/MSADC/root.exe'
[Thu, Sep 27 2001 - 23:19:36] Client at 65.65.249.122: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/c/winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:19:36] Client at 65.65.249.122: URL contains extension '.exe', which is disallowed. Request will be rejected.  Raw URL='/d/winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:19:36] Client at 65.65.249.122: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/scripts/..%255c../winnt/system32/cmd.exe'
[Thu, Sep 27 2001 - 23:19:36] Client at 65.65.249.122: URL normalization was not complete after one pass. Request will be rejected.  Raw URL='/_vti_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe'
