# List of all bogons (ips not allocated) for entire IPv4 ip space
# This file does not include the following additional iana reserved blocks:
#   10.0.0.0 - 10.255.255.255     - reserved for intranet local networks
#   127.0.0.0 - 127.255.255.255   - reserved for local loop on each computer
#   172.16.0.0 - 172.31.255.255   - reserved for intranet local networks
#   192.168.0.0 - 192.168.255.255 - reserved for intranet local networks
#   224.0.0.0 - 239.255.255.255   - used for multicast routing
# All these ip blocks are commonly used for local ethernet or local machine
# and hence if you filter them you may accidently shut down your own network
# Please manually add to your configuration those of the above blocks that
# you know for certain are not used on your local network
#
# For more information on this project see http://www.completewhois.com/bogons/
# This file is based on data collected on Fri May 20 02:42:53 PDT 2005
0.0.0.0 254.0.0.0
2.0.0.0 255.0.0.0
5.0.0.0 255.0.0.0
7.0.0.0 255.0.0.0
23.0.0.0 255.0.0.0
24.35.128.0 255.255.128.0
24.38.16.0 255.255.240.0
24.38.32.0 255.255.224.0
24.38.64.0 255.255.192.0
24.38.128.0 255.255.128.0
24.40.80.0 255.255.240.0
60.253.64.192 255.255.255.224
60.253.64.224 255.255.255.240
60.253.64.240 255.255.255.248
60.253.64.248 255.255.255.252
60.253.64.252 255.255.255.254
60.253.64.254 255.255.255.255
60.253.96.0 255.255.224.0
60.253.128.0 255.255.128.0
60.254.192.0 255.255.192.0
61.4.80.0 255.255.240.0
61.4.96.0 255.255.224.0
61.4.176.0 255.255.240.0
61.4.224.0 255.255.224.0
61.5.160.0 255.255.224.0
61.5.208.0 255.255.240.0
61.5.224.0 255.255.224.0
61.8.64.0 255.255.224.0
61.8.160.0 255.255.224.0
61.11.208.0 255.255.240.0
61.12.128.0 255.255.128.0
61.14.96.0 255.255.224.0
61.28.192.0 255.255.192.0
61.45.192.0 255.255.192.0
61.87.192.0 255.255.192.0
61.245.0.0 255.255.0.0
61.247.160.0 255.255.224.0
61.247.192.0 255.255.224.0
61.253.0.0 255.255.0.0
62.78.80.0 255.255.240.0
62.204.0.0 255.255.224.0
63.131.0.0 255.255.0.0
63.133.192.0 255.255.192.0
63.134.224.0 255.255.224.0
63.135.48.0 255.255.240.0
63.135.80.0 255.255.240.0
63.135.144.0 255.255.240.0
63.135.176.0 255.255.240.0
63.135.208.0 255.255.240.0
63.135.240.0 255.255.240.0
63.139.0.0 255.255.0.0
63.245.208.0 255.255.240.0
63.245.224.0 255.255.224.0
63.246.48.0 255.255.240.0
63.246.96.0 255.255.224.0
63.246.240.0 255.255.240.0
63.247.48.0 255.255.240.0
63.247.112.0 255.255.240.0
63.247.144.0 255.255.240.0
63.247.208.0 255.255.240.0
63.249.48.0 255.255.240.0
64.6.48.0 255.255.240.0
64.6.112.0 255.255.240.0
64.6.208.0 255.255.240.0
64.9.224.0 255.255.224.0
64.13.64.0 255.255.192.0
64.13.192.0 255.255.192.0
64.15.0.0 255.255.224.0
64.15.48.0 255.255.240.0
64.15.64.0 255.255.192.0
64.15.128.0 255.255.224.0
64.15.208.0 255.255.240.0
64.16.0.0 255.255.192.0
64.16.192.0 255.255.192.0
64.17.0.0 255.255.224.0
64.17.32.0 255.255.240.0
64.18.80.0 255.255.240.0
64.18.112.0 255.255.240.0
64.18.208.0 255.255.240.0
64.18.240.0 255.255.240.0
64.20.16.0 255.255.240.0
64.20.48.0 255.255.240.0
64.20.80.0 255.255.240.0
64.20.112.0 255.255.240.0
64.20.144.0 255.255.240.0
64.20.176.0 255.255.240.0
64.20.208.0 255.255.240.0
64.20.240.0 255.255.240.0
64.22.32.0 255.255.224.0
64.22.64.0 255.255.192.0
64.22.160.0 255.255.240.0
64.25.48.0 255.255.240.0
64.25.80.0 255.255.240.0
64.25.112.0 255.255.240.0
64.25.144.0 255.255.240.0
64.25.176.0 255.255.240.0
64.25.208.0 255.255.240.0
64.25.224.0 255.255.224.0
64.27.32.0 255.255.224.0
64.27.176.0 255.255.240.0
64.28.176.0 255.255.240.0
64.29.96.0 255.255.240.0
64.31.240.0 255.255.240.0
64.34.192.0 255.255.192.0
64.35.176.0 255.255.240.0
64.38.0.0 255.255.192.0
64.39.64.0 255.255.224.0
64.39.96.0 255.255.240.0
64.40.112.0 255.255.240.0
64.40.208.0 255.255.240.0
64.40.240.0 255.255.240.0
64.46.0.0 255.255.192.0
64.49.112.0 255.255.240.0
64.50.240.0 255.255.240.0
64.56.80.0 255.255.240.0
64.57.160.0 255.255.224.0
64.57.192.0 255.255.224.0
64.57.240.0 255.255.240.0
64.58.48.0 255.255.240.0
64.58.112.0 255.255.240.0
64.58.240.0 255.255.240.0
64.62.0.0 255.255.128.0
64.66.48.0 255.255.240.0
64.66.112.0 255.255.240.0
64.68.144.0 255.255.240.0
64.68.208.0 255.255.240.0
64.70.112.0 255.255.240.0
64.71.0.0 255.255.224.0
64.71.208.0 255.255.240.0
64.72.112.0 255.255.240.0
64.89.192.0 255.255.240.0

